num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea
5.0,0.03842105263157895,5.369091551767078e-09,2.634193411286535e-08,-6.566072359334426e-10,0.0005,2.5142061786896726e-06
5.0,0.04315789473684211,6.235914061828339e-09,2.5976774252349104e-08,-1.4979463656624646e-11,0.0005,2.81389034984527e-06
5.0,0.04789473684210527,5.311847203092745e-09,2.5832918086839728e-08,-2.7750258249798064e-11,0.0005,2.1760035845598704e-06
5.0,0.052631578947368425,5.826957739277789e-09,2.726993325105127e-08,-2.399470887361175e-11,0.0005,2.3387064357230196e-06
5.0,0.05736842105263158,9.483507852590576e-09,2.6024054150721502e-08,2.6985135959713876e-10,0.0005,3.1182751768726955e-06
5.0,0.06210526315789474,1.302428228588686e-08,2.669430787874311e-08,-8.295227664770779e-10,0.0005,2.9579227279402134e-06
5.0,0.0668421052631579,1.0292569451584062e-08,2.67163141330359e-08,-3.9514201582825504e-12,0.0005,2.212171539967192e-06
5.0,0.07157894736842106,6.3149957803106605e-09,2.6309964297438002e-08,-7.574953125151298e-10,0.0005,1.559137569944846e-06
5.0,0.07631578947368421,1.3334997228849663e-08,2.8802399879496458e-08,1.862810851666485e-09,0.0005,2.8162406326324344e-06
5.0,0.08105263157894736,7.662290122985706e-09,2.2508223751840232e-08,-9.694113972177748e-10,0.0005,2.036671819620872e-06
5.0,0.08578947368421053,1.8747005890004332e-08,2.530954710344313e-08,-4.6587428188208385e-12,0.0005,2.212171539967192e-06
5.0,0.09052631578947369,1.3974922932437667e-08,2.466962419857546e-08,2.4555450164241574e-10,0.0005,2.509505382160714e-06
5.0,0.09526315789473684,2.502132619431157e-08,2.597730496682537e-08,-2.8313668504258265e-09,0.0005,2.9917403724836423e-06
5.0,0.1,9.40378560418745e-09,2.5442530579092716e-08,-1.8849749804896337e-12,0.0005,1.5591377000913906e-06
6.0,0.01,1.1258002572065328e-09,3.059749309779322e-08,-1.933363391187922e-10,0.0005,2.7843201500077192e-06
6.0,0.01473684210526316,6.487928168071601e-10,3.1453106854341556e-08,-8.300422570260548e-14,0.0005,7.79568834313217e-07
6.0,0.019473684210526317,4.7971613835895466e-06,2.435808461895965e-06,1.1040832317693803e-06,0.0005,1.257103083989243e-06
6.0,0.024210526315789474,3.2740715506088137e-09,3.1929345430578626e-08,-3.7149148035655155e-10,0.0005,3.5934590515008737e-06
6.0,0.02894736842105263,2.934000096501734e-09,3.1308355750015675e-08,1.553963935135802e-10,0.0005,2.5142060883018254e-06
6.0,0.03368421052631579,5.38184269638164e-09,3.166601152549638e-08,2.2743434184782348e-10,0.0005,2.991740275598822e-06
6.0,0.03842105263157895,5.314749090844255e-09,3.0515868713311516e-08,-9.296808880423754e-11,0.0005,2.426003585158509e-06
6.0,0.04315789473684211,6.661661719563268e-09,3.2002738012987266e-08,1.1549791389094562e-09,0.0005,3.1201722000393533e-06
6.0,0.04789473684210527,5.137691267208739e-09,3.116024824742244e-08,-6.490183046838455e-11,0.0005,2.3406034823459293e-06
6.0,0.052631578947368425,9.585950528045295e-09,3.294955476741269e-08,1.120825350660169e-09,0.0005,3.5958093661484877e-06
6.0,0.05736842105263158,4.818516692436555e-09,3.258623565552165e-08,1.4903769405660004e-09,0.0005,1.7008197024930011e-06
6.0,0.06210526315789474,1.0016082706100143e-08,3.171029284206651e-08,5.241496737736938e-10,0.0005,2.5095053389479467e-06
6.0,0.0668421052631579,1.0465752544030582e-08,3.154619994702431e-08,-3.682333479335814e-10,0.0005,2.8138901857227e-06
6.0,0.07157894736842106,1.1179164428016771e-08,3.341441755765259e-08,-2.4592563716423307e-10,0.0005,2.428354025378333e-06
6.0,0.07631578947368421,2.1422393165301743e-08,2.9485125920409372e-08,3.7358392709377495e-11,0.0005,3.764257844267903e-06
